DATE,all_time_change
2016/5/25 15:30,4.72
2016/5/26 15:30,3.69
2016/5/27 15:30,3.91
2016/5/28 15:30,3.3
2016/5/29 15:30,2.27
2016/5/30 15:30,2.11
2016/5/31 15:30,1.55
2016/6/1 15:30,1.1
2016/6/2 15:30,0.79
2016/6/3 15:30,0.04
2016/6/4 15:30,-0.69
2016/6/5 15:30,-1.41
2016/6/6 15:30,-2.1
2016/6/7 15:30,-2.83
2016/6/8 15:30,-3.78
2016/6/9 15:30,-4.98
2016/6/10 15:30,-5.97
2016/6/11 15:30,-6.91
2016/6/12 15:30,-7.64
2016/6/13 15:30,-8.35
2016/6/14 15:30,-9.14
2016/6/15 15:30,-9.14
2016/6/16 15:30,-9.14
2016/6/17 15:30,-11.6
2016/6/18 15:30,-12.32
2016/6/19 15:30,-12.95
2016/6/20 15:30,-13.76
2016/6/21 15:30,-14.47
2016/6/22 15:30,-15.08
2016/6/23 15:30,-15.75
2016/6/24 15:30,-14.87
2016/6/25 15:30,-14.2
2016/6/26 15:30,-14.36
2016/6/27 15:30,-14.53
2016/6/28 15:30,-14.69
2016/6/29 15:30,-14.85
2016/6/30 15:30,-14.99
2016/7/1 15:30,-15.13
2016/7/2 15:30,-15.28
2016/7/3 15:30,-15.35
2016/7/4 15:30,-15.5
2016/7/5 15:30,-15.73
2016/7/6 15:30,-15.73
2016/7/7 15:30,-12.23
2016/7/8 15:30,-14.88
2016/7/9 15:30,-14.38
2016/7/10 15:30,-14.55
2016/7/11 15:30,-14.69
2016/7/12 15:30,-14.79
2016/7/13 15:30,-15.37
2016/7/14 15:30,-15.57
2016/7/15 15:30,-15.72
2016/7/16 15:30,-15.8
2016/7/17 15:30,-15.88
2016/7/18 15:30,-16.05
2016/7/19 15:30,-16.21
2016/7/20 15:30,-16.38
2016/7/21 15:30,-16.56
2016/7/22 15:30,-16.75
2016/7/23 15:30,-16.95
2016/7/24 15:30,-17.17
2016/7/25 15:30,-16.87
2016/7/26 15:30,-16.61
2016/7/27 15:30,-16.92
2016/7/28 15:30,-17.06
2016/7/29 15:30,-17.27
2016/7/30 15:30,-17.44
2016/7/31 15:30,-17.6
2016/8/1 15:30,-17.84
2016/8/2 15:30,-17.84
2016/8/3 15:30,-18.05
2016/8/4 15:30,-18.26
2016/8/5 15:30,-18.45
2016/8/6 15:30,-18.66
2016/8/7 15:30,-18.9
2016/8/8 15:30,-18.9
2016/8/9 15:30,-19.16
