DATE,all_time_change
2016/5/25 15:30,3.97
2016/5/26 15:30,-1.22
2016/5/27 15:30,-2.56
2016/5/28 15:30,-4.18
2016/5/29 15:30,-3.18
2016/5/30 15:30,-3.14
2016/5/31 15:30,-2.68
2016/6/1 15:30,-2.02
2016/6/2 15:30,-1.95
2016/6/3 15:30,-2.84
2016/6/4 15:30,-3.86
2016/6/5 15:30,-4.86
2016/6/6 15:30,-5.83
2016/6/7 15:30,-6.86
2016/6/8 15:30,-7.86
2016/6/9 15:30,-9.03
2016/6/10 15:30,-10.47
2016/6/11 15:30,-11.72
2016/6/12 15:30,-13.06
2016/6/13 15:30,-14.35
2016/6/14 15:30,-15.62
2016/6/15 15:30,-15.62
2016/6/16 15:30,-15.62
2016/6/17 15:30,-18.25
2016/6/18 15:30,-18.99
2016/6/19 15:30,-19.59
2016/6/20 15:30,-20.11
2016/6/21 15:30,-20.67
2016/6/22 15:30,-21.25
2016/6/23 15:30,-18.97
2016/6/24 15:30,-17.37
2016/6/25 15:30,-16.15
2016/6/26 15:30,-16.48
2016/6/27 15:30,-17.16
2016/6/28 15:30,-17.75
2016/6/29 15:30,-18.06
2016/6/30 15:30,-18.31
2016/7/1 15:30,-18.51
2016/7/2 15:30,-18.68
2016/7/3 15:30,-18.32
2016/7/4 15:30,-18.71
2016/7/5 15:30,-19.52
2016/7/6 15:30,-19.52
2016/7/7 15:30,-19.38
2016/7/8 15:30,-19.86
2016/7/9 15:30,-19.35
2016/7/10 15:30,-19.8
2016/7/11 15:30,-20.31
2016/7/12 15:30,-20.67
2016/7/13 15:30,-21.28
2016/7/14 15:30,-21.73
2016/7/15 15:30,-22.12
2016/7/16 15:30,-22.38
2016/7/17 15:30,-22.72
2016/7/18 15:30,-22.97
2016/7/19 15:30,-23.18
2016/7/20 15:30,-23.43
2016/7/21 15:30,-23.76
2016/7/22 15:30,-24.11
2016/7/23 15:30,-24.5
2016/7/24 15:30,-24.94
2016/7/25 15:30,-25.35
2016/7/26 15:30,-25.72
2016/7/27 15:30,-25.91
2016/7/28 15:30,-26.11
2016/7/29 15:30,-26.36
2016/7/30 15:30,-26.57
2016/7/31 15:30,-26.8
2016/8/1 15:30,-27.04
2016/8/2 15:30,-27.04
2016/8/3 15:30,-27.24
2016/8/4 15:30,-27.45
2016/8/5 15:30,-27.69
2016/8/6 15:30,-27.96
2016/8/7 15:30,-28.19
2016/8/8 15:30,-28.25
2016/8/9 15:30,-28.58
