DATE,all_time_change
2016/5/25 15:30,13.88
2016/5/26 15:30,11.59
2016/5/29 15:30,9.75
2016/5/30 15:30,10.12
2016/5/31 15:30,9.98
2016/6/1 15:30,9.45
2016/6/2 15:30,9.77
2016/6/3 15:30,9.55
2016/6/4 15:30,9.34
2016/6/5 15:30,8.85
2016/6/6 15:30,8.37
2016/6/7 15:30,7.87
2016/6/8 15:30,7.35
2016/6/9 15:30,6.82
2016/6/10 15:30,6.28
2016/6/11 15:30,5.75
2016/6/12 15:30,5.15
2016/6/13 15:30,4.58
2016/6/14 15:30,4.02
2016/6/15 15:30,4.02
2016/6/16 15:30,4.02
2016/6/17 15:30,2.69
2016/6/18 15:30,2.17
2016/6/19 15:30,1.62
2016/6/20 15:30,1.19
2016/6/21 15:30,0.74
2016/6/22 15:30,0.35
2016/6/23 15:30,-0.09
2016/6/24 15:30,-0.4
2016/6/25 15:30,-0.03
2016/5/27 15:30,10.83
2016/5/28 15:30,10.04
2016/6/26 15:30,0.44
2016/6/27 15:30,0.98
2016/6/28 15:30,0.63
2016/6/29 15:30,0.26
2016/6/30 15:30,-0.06
2016/7/1 15:30,-0.37
2016/7/2 15:30,-0.64
2016/7/3 15:30,-0.76
2016/7/4 15:30,-0.87
2016/7/5 15:30,-1.06
2016/7/6 15:30,-1.06
2016/7/7 15:30,-1.34
2016/7/8 15:30,-1.54
2016/7/9 15:30,-1.82
2016/7/10 15:30,-1.96
2016/7/11 15:30,-2.1
2016/7/12 15:30,-2.19
2016/7/13 15:30,-2.36
2016/7/14 15:30,-2.73
2016/7/15 15:30,-2.85
2016/7/16 15:30,-3.05
2016/7/17 15:30,-3.11
2016/7/18 15:30,-3.23
2016/7/19 15:30,-3.37
2016/7/20 15:30,-3.53
2016/7/21 15:30,-3.92
2016/7/22 15:30,-4.35
2016/7/23 15:30,-4.81
2016/7/24 15:30,-5.21
2016/7/25 15:30,-5.38
2016/7/26 15:30,-5.57
2016/7/27 15:30,-5.7
2016/7/28 15:30,-5.8
2016/7/29 15:30,-5.69
2016/7/30 15:30,-5.58
2016/7/31 15:30,-5.45
2016/8/1 15:30,-5.3
2016/8/2 15:30,-5.3
2016/8/3 15:30,-5.12
2016/8/4 15:30,-5.39
2016/8/5 15:30,-5.68
2016/8/6 15:30,-5.92
2016/8/7 15:30,-6.13
2016/8/8 15:30,-5.71
2016/8/9 15:30,-5.51
