DATE,all_time_change
2016/5/25 15:30,22.2
2016/5/26 15:30,15.53
2016/5/27 15:30,11.7
2016/5/28 15:30,9.15
2016/5/29 15:30,5.76
2016/5/30 15:30,6.77
2016/5/31 15:30,5.21
2016/6/1 15:30,6.35
2016/6/2 15:30,2.98
2016/6/3 15:30,1.17
2016/6/4 15:30,-0.49
2016/6/5 15:30,-2.5
2016/6/6 15:30,-4.37
2016/6/7 15:30,-5.74
2016/6/8 15:30,-6.53
2016/6/9 15:30,-7.09
2016/6/10 15:30,-7.88
2016/6/11 15:30,-8.65
2016/6/12 15:30,-9.42
2016/6/13 15:30,-10.18
2016/6/14 15:30,-10.98
2016/6/15 15:30,-10.98
2016/6/16 15:30,-10.98
2016/6/17 15:30,-12.59
2016/6/18 15:30,-13.03
2016/6/19 15:30,-13.53
2016/6/20 15:30,-14.11
2016/6/21 15:30,-14.8
2016/6/22 15:30,-15.5
2016/6/23 15:30,-16.09
2016/6/24 15:30,-16.51
2016/6/25 15:30,-16.13
2016/6/26 15:30,-16.17
2016/6/27 15:30,-16.22
2016/6/28 15:30,-16
2016/6/29 15:30,-16.16
2016/6/30 15:30,-16.35
2016/7/1 15:30,-17.32
2016/7/2 15:30,-18.15
2016/7/3 15:30,-18.53
2016/7/4 15:30,-18.66
2016/7/5 15:30,-19.25
2016/7/6 15:30,-19.25
2016/7/7 15:30,-19.59
2016/7/8 15:30,-19.84
2016/7/9 15:30,-20.09
2016/7/10 15:30,-20.25
2016/7/11 15:30,-21.16
2016/7/12 15:30,-21.81
2016/7/13 15:30,-22.13
2016/7/14 15:30,-22.5
2016/7/15 15:30,-22.64
2016/7/16 15:30,-23.07
2016/7/17 15:30,-23.41
2016/7/18 15:30,-23.94
2016/7/19 15:30,-24.4
2016/7/20 15:30,-24.82
2016/7/21 15:30,-25.03
2016/7/22 15:30,-25.28
2016/7/23 15:30,-25.57
2016/7/24 15:30,-25.9
2016/7/25 15:30,-26.12
2016/7/26 15:30,-26.38
2016/7/27 15:30,-26.43
2016/7/28 15:30,-26.86
2016/7/29 15:30,-27.07
2016/7/30 15:30,-27.24
2016/7/31 15:30,-27.4
2016/8/1 15:30,-27.75
2016/8/2 15:30,-27.75
2016/8/3 15:30,-28.05
2016/8/4 15:30,-27.79
2016/8/5 15:30,-27.57
2016/8/6 15:30,-27.38
2016/8/7 15:30,-27.22
2016/8/8 15:30,-27.22
2016/8/9 15:30,-27.09
