DATE,all_time_change
2016/7/8 17:00,0.81
2016/7/9 17:00,0.53
2016/7/10 17:00,0.53
2016/7/11 17:00,2.09
2016/7/12 17:00,1.76
2016/7/13 17:00,1.67
2016/7/14 17:00,2.12
2016/7/15 17:00,2.85
2016/7/16 17:00,2.78
2016/7/17 17:00,3
2016/7/18 17:00,3.28
2016/7/19 17:00,4.57
2016/7/20 17:00,4.52
2016/7/21 17:00,4.89
2016/7/22 17:00,2.95
2016/7/23 17:00,3.44
2016/7/24 17:00,5.77
2016/7/25 17:00,4.04
2016/7/26 17:00,6.64
2016/7/27 17:00,6.8
2016/7/28 17:00,7.17
2016/7/29 17:00,11.08
2016/7/30 17:00,12.93
2016/7/31 17:00,12.59
2016/8/1 17:00,13.16
2016/8/2 17:00,11.47
2016/8/3 17:00,10.42
2016/8/4 17:00,8.53
2016/8/5 17:00,5.91
2016/8/6 17:00,7.42
2016/8/7 17:00,6.05
2016/8/8 17:00,5.1
2016/8/9 17:00,5.44
2016/8/10 17:00,4.93
2016/8/11 17:00,5.36
2016/8/12 17:00,2.81
2016/8/13 17:00,2.97
2016/8/14 17:00,1.06
2016/8/15 17:00,2.11
2016/8/16 17:00,1.01
2016/8/17 17:00,0.93
2016/8/18 17:00,0.85
2016/8/19 17:00,0.57
2016/8/20 17:00,-0.66
2016/8/21 17:00,0.12
2016/8/22 17:00,-0.64
2016/8/23 17:00,-0.94
2016/8/24 17:00,-0.64
2016/8/25 17:00,0.27
2016/8/26 17:00,0.77
2016/8/27 17:00,0.3
2016/8/28 17:00,-0.47
2016/8/29 17:00,0.02
2016/8/30 17:00,-0.29
2016/8/31 17:00,-0.57
2016/9/1 17:00,-0.61
2016/9/2 17:00,-0.76
2016/9/3 17:00,-0.64
2016/9/4 17:00,-1.05
2016/9/5 17:00,-1.34
2016/9/6 17:00,-1.26
2016/9/7 17:00,-1.56
2016/9/8 17:00,-1.7
2016/9/9 17:00,-1.57
2016/9/10 17:00,-1.96
2016/9/12 17:00,-2.44
2016/9/13 17:00,-2.88
2016/9/14 17:00,-3.16
2016/9/16 17:00,-3.31
2016/9/18 17:00,-3.29
2016/9/19 17:00,-3.14
2016/9/21 17:00,-3.16
2016/9/22 17:00,-3.17
2016/9/23 17:00,-3.53
2016/9/24 17:00,-3.58
2016/9/25 17:00,-3.5
2016/9/26 17:00,-3.55
2016/9/27 17:00,-3.94
2016/9/28 17:00,-3.87
2016/9/29 17:00,-4.06
2016/9/30 17:00,-3.91
2016/10/1 17:00,-3.91
2016/10/2 17:00,-3.91
2016/10/3 17:00,-3.91
2016/10/4 17:00,-4.43
2016/10/5 17:00,-4.49
2016/10/6 17:00,-3.97
2016/10/7 17:00,-4.2
2016/10/8 17:00,-4.22
2016/10/9 17:00,-4.47
2016/10/10 17:00,-4.97
2016/10/11 17:00,-4.81
2016/10/12 17:00,-5.47
2016/10/13 17:00,-5.34
2016/10/14 17:00,-5.4
2016/10/15 17:00,-5.08
2016/10/16 17:00,-5.79
2016/10/17 17:00,-6.76
2016/10/18 17:00,-6.51
2016/10/19 17:00,-7.37
2016/10/20 17:00,-7.49
2016/10/21 17:00,-7.52
2016/10/22 17:00,-7.53
2016/10/23 17:00,-8.04
2016/10/24 17:00,-7.43
2016/10/25 17:00,-6.17
2016/10/26 17:00,-5.77
2016/10/27 17:00,-5.54
2016/10/28 17:00,-5.95
2016/10/29 17:00,-5.95
2016/10/30 17:00,-5.96
2016/10/31 17:00,-6.71
2016/11/1 17:00,-7.27
2016/11/2 17:00,-7.47
2016/11/3 17:00,-7.37
2016/11/4 17:00,-7.69
2016/11/5 17:00,-8.06
