DATE,all_time_change
2016/5/25 15:30,0.8
2016/5/26 15:30,-0.3
2016/5/27 15:30,0.28
2016/5/28 15:30,0.48
2016/5/29 15:30,0.92
2016/5/30 15:30,1.67
2016/5/31 15:30,1.93
2016/6/1 15:30,1.38
2016/6/2 15:30,1.22
2016/6/3 15:30,0.7
2016/6/4 15:30,0.19
2016/6/5 15:30,-0.5
2016/6/6 15:30,-1.33
2016/6/7 15:30,-2.35
2016/6/8 15:30,-3.38
2016/6/9 15:30,-4.43
2016/6/10 15:30,-5.51
2016/6/11 15:30,-6.52
2016/6/12 15:30,-7.61
2016/6/13 15:30,-8.66
2016/6/14 15:30,-9.66
2016/6/15 15:30,-9.66
2016/6/16 15:30,-9.66
2016/6/17 15:30,-11.74
2016/6/18 15:30,-12.39
2016/6/19 15:30,-12.96
2016/6/20 15:30,-13.68
2016/6/21 15:30,-14.31
2016/6/22 15:30,-14.86
2016/6/23 15:30,-15.46
2016/6/24 15:30,-14.86
2016/6/25 15:30,-14.9
2016/6/26 15:30,-15.29
2016/6/27 15:30,-15
2016/6/28 15:30,-14.87
2016/6/29 15:30,-15.14
2016/6/30 15:30,-15.38
2016/7/1 15:30,-15.62
2016/7/2 15:30,-15.88
2016/7/3 15:30,-16
2016/7/4 15:30,-15.87
2016/7/5 15:30,-16.17
2016/7/6 15:30,-16.17
2016/7/7 15:30,-16.46
2016/7/8 15:30,-16.66
2016/7/9 15:30,-16.95
2016/7/10 15:30,-16.81
2016/7/11 15:30,-16.67
2016/7/12 15:30,-17.05
2016/7/13 15:30,-17.28
2016/7/14 15:30,-17.38
2016/7/15 15:30,-17.26
2016/7/16 15:30,-17.41
2016/7/17 15:30,-17.7
2016/7/18 15:30,-17.92
2016/7/19 15:30,-18.12
2016/7/20 15:30,-18.35
2016/7/21 15:30,-18.65
2016/7/22 15:30,-18.97
2016/7/23 15:30,-19.31
2016/7/24 15:30,-19.68
2016/7/25 15:30,-19.85
2016/7/26 15:30,-20
2016/7/27 15:30,-20.18
2016/7/28 15:30,-20.36
2016/7/29 15:30,-20.51
2016/7/30 15:30,-20.66
2016/7/31 15:30,-20.83
2016/8/1 15:30,-20.98
2016/8/2 15:30,-20.98
2016/8/3 15:30,-21.1
2016/8/4 15:30,-20.85
2016/8/5 15:30,-20.63
2016/8/6 15:30,-20.44
2016/8/7 15:30,-20.27
2016/8/8 15:30,-20.27
2016/8/9 15:30,-20.12
