DATE,all_time_change
2016/5/25 15:30,-3.2
2016/5/26 15:30,-5.07
2016/5/27 15:30,-5.52
2016/5/28 15:30,-6.8
2016/5/29 15:30,-8.23
2016/5/30 15:30,-8.08
2016/5/31 15:30,-8.74
2016/6/1 15:30,-8.39
2016/6/2 15:30,-9.79
2016/6/3 15:30,-10.61
2016/6/4 15:30,-11.41
2016/6/5 15:30,-12.19
2016/6/6 15:30,-12.95
2016/6/7 15:30,-13.44
2016/6/8 15:30,-13.9
2016/6/9 15:30,-14.37
2016/6/10 15:30,-14.85
2016/6/11 15:30,-15.32
2016/6/12 15:30,-15.85
2016/6/13 15:30,-16.36
2016/6/14 15:30,-16.85
2016/6/15 15:30,-16.85
2016/6/16 15:30,-16.85
2016/6/17 15:30,-18.1
2016/6/18 15:30,-18.59
2016/6/19 15:30,-19.17
2016/6/20 15:30,-19.72
2016/6/21 15:30,-20.2
2016/6/22 15:30,-20.62
2016/6/23 15:30,-21.09
2016/6/24 15:30,-21.42
2016/6/25 15:30,-21.65
2016/6/26 15:30,-21.86
2016/6/27 15:30,-22.11
2016/6/28 15:30,-22.32
2016/6/29 15:30,-22.55
2016/6/30 15:30,-22.74
2016/7/1 15:30,-22.94
2016/7/2 15:30,-23.15
2016/7/3 15:30,-23.25
2016/7/4 15:30,-23.35
2016/7/5 15:30,-23.82
2016/7/6 15:30,-23.82
2016/7/7 15:30,-24.1
2016/7/8 15:30,-24.29
2016/7/9 15:30,-24.57
2016/7/10 15:30,-24.69
2016/7/11 15:30,-24.81
2016/7/12 15:30,-24.9
2016/7/13 15:30,-24.69
2016/7/14 15:30,-24.64
2016/7/15 15:30,-24.74
2016/7/16 15:30,-24.86
2016/7/17 15:30,-25.14
2016/7/18 15:30,-25.33
2016/7/19 15:30,-25.55
2016/7/20 15:30,-25.81
2016/7/21 15:30,-26.05
2016/7/22 15:30,-26.26
2016/7/23 15:30,-26.44
2016/7/24 15:30,-26.6
2016/7/25 15:30,-26.76
2016/7/26 15:30,-26.91
2016/7/27 15:30,-27.1
2016/7/28 15:30,-27.25
2016/7/29 15:30,-27.37
2016/7/30 15:30,-27.48
2016/7/31 15:30,-27.57
2016/8/1 15:30,-27.62
2016/8/2 15:30,-27.62
2016/8/3 15:30,-27.68
2016/8/4 15:30,-28.01
2016/8/5 15:30,-28.3
2016/8/6 15:30,-28.56
2016/8/7 15:30,-28.79
2016/8/8 15:30,-28.79
2016/8/9 15:30,-28.99
