DATE,all_time_change
2016/5/25 15:30,6.41
2016/5/26 15:30,4.31
2016/5/27 15:30,3.8
2016/5/28 15:30,3.18
2016/5/29 15:30,2.84
2016/5/30 15:30,3.2
2016/5/31 15:30,3.04
2016/6/1 15:30,2.82
2016/6/2 15:30,2.79
2016/6/3 15:30,2.53
2016/6/4 15:30,2.28
2016/6/5 15:30,2.04
2016/6/6 15:30,1.81
2016/6/7 15:30,1.41
2016/6/8 15:30,0.88
2016/6/9 15:30,0.33
2016/6/10 15:30,-0.26
2016/6/11 15:30,-0.9
2016/6/12 15:30,-1.61
2016/6/13 15:30,-2.29
2016/6/14 15:30,-2.95
2016/6/15 15:30,-2.95
2016/6/16 15:30,-2.95
2016/6/17 15:30,-4.62
2016/6/18 15:30,-5.28
2016/6/19 15:30,-6.04
2016/6/20 15:30,-6.78
2016/6/21 15:30,-7.43
2016/6/22 15:30,-7.98
2016/6/23 15:30,-8.61
2016/6/24 15:30,-9.05
2016/6/25 15:30,-8.98
2016/6/26 15:30,-8.58
2016/6/27 15:30,-8.75
2016/6/28 15:30,-8.58
2016/6/29 15:30,-8.39
2016/6/30 15:30,-8.24
2016/7/1 15:30,-8.08
2016/7/2 15:30,-7.91
2016/7/3 15:30,-7.83
2016/7/4 15:30,-8.05
2016/7/5 15:30,-8.38
2016/7/6 15:30,-8.38
2016/7/7 15:30,-8.48
2016/7/8 15:30,-8.56
2016/7/9 15:30,-8.66
2016/7/10 15:30,-8.91
2016/7/11 15:30,-9.06
2016/7/12 15:30,-9.17
2016/7/13 15:30,-9.34
2016/7/14 15:30,-9.54
2016/7/15 15:30,-9.76
2016/7/16 15:30,-9.66
2016/7/17 15:30,-9.77
2016/7/18 15:30,-9.83
2016/7/19 15:30,-9.89
2016/7/20 15:30,-9.97
2016/7/21 15:30,-9.78
2016/7/22 15:30,-9.61
2016/7/23 15:30,-9.46
2016/7/24 15:30,-9.29
2016/7/25 15:30,-9.35
2016/7/26 15:30,-9.43
2016/7/27 15:30,-9.51
2016/7/28 15:30,-9.56
2016/7/29 15:30,-9.26
2016/7/30 15:30,-9
2016/7/31 15:30,-8.77
2016/8/1 15:30,-8.89
2016/8/2 15:30,-8.89
2016/8/3 15:30,-9.03
2016/8/4 15:30,-9.14
2016/8/5 15:30,-9.26
2016/8/6 15:30,-9.39
2016/8/7 15:30,-9.55
2016/8/8 15:30,-9.54
2016/8/9 15:30,-9.69
