DATE,all_time_change
2016/7/5 17:00,-3.37
2016/7/6 17:00,-22.85
2016/7/7 17:00,-21.73
2016/7/8 17:00,-21.94
2016/7/9 17:00,-22.51
2016/7/10 17:00,-22.58
2016/7/11 17:00,-22.06
2016/7/12 17:00,-22.15
2016/7/13 17:00,-21.14
2016/7/14 17:00,-21.95
2016/7/15 17:00,-22.37
2016/7/16 17:00,-22.14
2016/7/17 17:00,-21.87
2016/7/18 17:00,-22.57
2016/7/19 17:00,-15.22
2016/7/20 17:00,-11.16
2016/7/21 17:00,-7.8
2016/7/22 17:00,-6.74
2016/7/23 17:00,-3.47
2016/7/24 17:00,-0.2
2016/7/25 17:00,8.08
2016/7/26 17:00,11.48
2016/7/27 17:00,10.1
2016/7/28 17:00,10.43
2016/7/29 17:00,8.54
2016/7/30 17:00,6.44
2016/7/31 17:00,4.44
2016/8/1 17:00,2.59
2016/8/2 17:00,3.77
2016/8/3 17:00,1.36
2016/8/4 17:00,0.3
2016/8/5 17:00,3.18
2016/8/6 17:00,6.38
2016/8/7 17:00,9.26
2016/8/8 17:00,7.99
2016/8/9 17:00,6.61
2016/8/10 17:00,5.29
2016/8/11 17:00,4.86
2016/8/12 17:00,3.12
2016/8/13 17:00,2.86
2016/8/14 17:00,2.78
2016/8/15 17:00,1.35
2016/8/16 17:00,-0.43
2016/8/17 17:00,-2.05
2016/8/18 17:00,-3.47
2016/8/19 17:00,-4.41
2016/8/20 17:00,-4.91
2016/8/21 17:00,-5.44
2016/8/22 17:00,-5.97
2016/8/23 17:00,-6.31
2016/8/24 17:00,-5.92
2016/8/25 17:00,-7.27
2016/8/26 17:00,-7.02
2016/8/27 17:00,-7.94
2016/8/28 17:00,-8.47
2016/8/29 17:00,-9.34
2016/8/30 17:00,-9.54
2016/8/31 17:00,-10.43
2016/9/1 17:00,-10.58
2016/9/2 17:00,-11.94
2016/9/3 17:00,-12.41
2016/9/4 17:00,-12.57
2016/9/5 17:00,-13.23
2016/9/6 17:00,-12.67
2016/9/7 17:00,-13.31
2016/9/8 17:00,-13.51
2016/9/9 17:00,-13.56
2016/9/10 17:00,-13.74
2016/9/12 17:00,-14.91
2016/9/13 17:00,-14.93
2016/9/14 17:00,-14.8
2016/9/16 17:00,-15.05
2016/9/18 17:00,-15.37
2016/9/19 17:00,-15.41
2016/9/21 17:00,-15.55
2016/9/22 17:00,-15.59
2016/9/23 17:00,-15.91
2016/9/24 17:00,-16.09
2016/9/25 17:00,-16.13
2016/9/26 17:00,-15.97
2016/9/27 17:00,-16.09
2016/9/28 17:00,-16.32
2016/9/29 17:00,-16.36
2016/9/30 17:00,-16.52
2016/10/1 17:00,-16.68
2016/10/2 17:00,-16.31
2016/10/3 17:00,-16.61
2016/10/4 17:00,-16.76
2016/10/5 17:00,-16.58
2016/10/6 17:00,-17.28
2016/10/7 17:00,-17.16
2016/10/8 17:00,-17.29
2016/10/9 17:00,-17.28
2016/10/10 17:00,-17.65
2016/10/11 17:00,-17.19
2016/10/12 17:00,-17.27
2016/10/13 17:00,-17.43
2016/10/14 17:00,-17.54
2016/10/15 17:00,-18.98
2016/10/16 17:00,-19.03
2016/10/17 17:00,-19.7
2016/10/18 17:00,-19.96
2016/10/19 17:00,-21.3
2016/10/20 17:00,-21.54
2016/10/21 17:00,-22
2016/10/22 17:00,-22.45
2016/10/23 17:00,-23.37
2016/10/24 17:00,-23.17
2016/10/25 17:00,-24.12
2016/10/26 17:00,-24.66
2016/10/27 17:00,-25.54
2016/10/28 17:00,-27.24
2016/10/29 17:00,-27.94
2016/10/30 17:00,-27.64
2016/10/31 17:00,-28.17
2016/11/1 17:00,-29.3
2016/11/2 17:00,-29.74
2016/11/3 17:00,-30.61
2016/11/4 17:00,-31.4
2016/11/5 17:00,-32.46
