DATE,all_time_change
2016/5/25 15:30,-0.48
2016/5/26 15:30,-4.13
2016/5/29 15:30,-5.19
2016/5/30 15:30,-4.26
2016/5/31 15:30,-4.63
2016/6/1 15:30,-3.21
2016/6/2 15:30,-5.22
2016/6/3 15:30,-6.1
2016/6/4 15:30,-7.13
2016/6/5 15:30,-7.99
2016/6/6 15:30,-8.98
2016/6/7 15:30,-9.84
2016/6/8 15:30,-10.72
2016/6/9 15:30,-11.3
2016/6/10 15:30,-11.97
2016/6/11 15:30,-12.66
2016/6/12 15:30,-13.33
2016/6/13 15:30,-14.07
2016/6/14 15:30,-14.78
2016/6/15 15:30,-14.78
2016/6/16 15:30,-14.78
2016/6/17 15:30,-17.13
2016/6/18 15:30,-17.96
2016/6/19 15:30,-18.64
2016/6/20 15:30,-19.17
2016/6/21 15:30,-19.68
2016/6/22 15:30,-20.2
2016/6/23 15:30,-18.09
2016/6/24 15:30,-16.61
2016/6/25 15:30,-15.48
2016/5/27 15:30,-2.89
2016/5/28 15:30,-4.38
2016/6/26 15:30,-15.33
2016/6/27 15:30,-16
2016/6/28 15:30,-16.26
2016/6/29 15:30,-16.52
2016/6/30 15:30,-16.75
2016/7/1 15:30,-16.97
2016/7/2 15:30,-17.16
2016/7/3 15:30,-17.3
2016/7/4 15:30,-17.46
2016/7/5 15:30,-18.36
2016/7/6 15:30,-18.36
2016/7/7 15:30,-18.75
2016/7/8 15:30,-19.15
2016/7/9 15:30,-19.5
2016/7/10 15:30,-19.68
2016/7/11 15:30,-20.27
2016/7/12 15:30,-20.7
2016/7/13 15:30,-21.4
2016/7/14 15:30,-21.3
2016/7/15 15:30,-21.45
2016/7/16 15:30,-21.59
2016/7/17 15:30,-22.12
2016/7/18 15:30,-22.33
2016/7/19 15:30,-22.57
2016/7/20 15:30,-22.85
2016/7/21 15:30,-23.14
2016/7/22 15:30,-23.38
2016/7/23 15:30,-23.59
2016/7/24 15:30,-23.77
2016/7/25 15:30,-24.11
2016/7/26 15:30,-24.51
2016/7/27 15:30,-24.19
2016/7/28 15:30,-24.36
2016/7/29 15:30,-24.65
2016/7/30 15:30,-24.91
2016/7/31 15:30,-25.13
2016/8/1 15:30,-25.4
2016/8/2 15:30,-25.4
2016/8/3 15:30,-25.63
2016/8/4 15:30,-25.87
2016/8/5 15:30,-26.08
2016/8/6 15:30,-26.33
2016/8/7 15:30,-26.54
2016/8/8 15:30,-26.54
2016/8/9 15:30,-26.73
