DATE,all_time_change
2016/7/8 17:00,0.01
2016/7/9 17:00,0.55
2016/7/10 17:00,0.55
2016/7/11 17:00,2.24
2016/7/12 17:00,1.96
2016/7/13 17:00,1.28
2016/7/14 17:00,1.13
2016/7/15 17:00,2.55
2016/7/16 17:00,2.79
2016/7/17 17:00,2.8
2016/7/18 17:00,3.43
2016/7/19 17:00,4.92
2016/7/20 17:00,6.07
2016/7/21 17:00,6.25
2016/7/22 17:00,3.65
2016/7/23 17:00,5.53
2016/7/24 17:00,7.53
2016/7/25 17:00,4.8
2016/7/26 17:00,8.09
2016/7/27 17:00,7.56
2016/7/28 17:00,9.39
2016/7/29 17:00,10.9
2016/7/30 17:00,12.45
2016/7/31 17:00,13.15
2016/8/1 17:00,14.42
2016/8/2 17:00,14.29
2016/8/3 17:00,12.49
2016/8/4 17:00,10.65
2016/8/5 17:00,7.93
2016/8/6 17:00,8.67
2016/8/7 17:00,6.94
2016/8/8 17:00,5.88
2016/8/9 17:00,6.1
2016/8/10 17:00,4.91
2016/8/11 17:00,5.55
2016/8/12 17:00,2.8
2016/8/13 17:00,3.82
2016/8/14 17:00,2.09
2016/8/15 17:00,2.68
2016/8/16 17:00,0.97
2016/8/17 17:00,1.03
2016/8/18 17:00,1.09
2016/8/19 17:00,1.45
2016/8/20 17:00,0.8
2016/8/21 17:00,1.54
2016/8/22 17:00,1.47
2016/8/23 17:00,0.36
2016/8/24 17:00,0.65
2016/8/25 17:00,1.5
2016/8/26 17:00,1.55
2016/8/27 17:00,1.53
2016/8/28 17:00,0.95
2016/8/29 17:00,0.84
2016/8/30 17:00,0.4
2016/8/31 17:00,-0.1
2016/9/1 17:00,-0.73
2016/9/2 17:00,0
2016/9/3 17:00,0.54
2016/9/4 17:00,0.51
2016/9/5 17:00,0.69
2016/9/6 17:00,1.3
2016/9/7 17:00,0.03
2016/9/8 17:00,-0.39
2016/9/9 17:00,-0.39
2016/9/10 17:00,-1
2016/9/12 17:00,-1.59
2016/9/13 17:00,-2.17
2016/9/14 17:00,-2.23
2016/9/16 17:00,-1.98
2016/9/18 17:00,-2.03
2016/9/19 17:00,-2.08
2016/9/21 17:00,-1.48
2016/9/22 17:00,-1.67
2016/9/23 17:00,-1.89
2016/9/24 17:00,-2.07
2016/9/25 17:00,-2.09
2016/9/26 17:00,-2.12
2016/9/27 17:00,-1.91
2016/9/28 17:00,-1.78
2016/9/29 17:00,-2.22
2016/9/30 17:00,-2.4
2016/10/1 17:00,-2.4
2016/10/2 17:00,-2.4
2016/10/3 17:00,-2.4
2016/10/4 17:00,-3.19
2016/10/5 17:00,-3.15
2016/10/6 17:00,-3.14
2016/10/7 17:00,-3.32
2016/10/8 17:00,-3.23
2016/10/9 17:00,-3.21
2016/10/10 17:00,-3.97
2016/10/11 17:00,-3.52
2016/10/12 17:00,-3.53
2016/10/13 17:00,-3.58
2016/10/14 17:00,-3.48
2016/10/15 17:00,-3.92
2016/10/16 17:00,-3.75
2016/10/17 17:00,-4.55
2016/10/18 17:00,-5.63
2016/10/19 17:00,-4.78
2016/10/20 17:00,-4.67
2016/10/21 17:00,-4.27
2016/10/22 17:00,-3.95
2016/10/23 17:00,-4.87
2016/10/24 17:00,-4.54
2016/10/25 17:00,-3.27
2016/10/26 17:00,-3.43
2016/10/27 17:00,-3.32
2016/10/28 17:00,-3.38
2016/10/29 17:00,-3.94
2016/10/30 17:00,-4.51
2016/10/31 17:00,-4.41
2016/11/1 17:00,-4.69
2016/11/2 17:00,-4.72
2016/11/3 17:00,-4.44
2016/11/4 17:00,-4.88
2016/11/5 17:00,-5.16
