DATE,all_time_change
2016/5/25 15:30,15.03
2016/5/26 15:30,7.93
2016/5/27 15:30,4.92
2016/5/28 15:30,2.52
2016/5/29 15:30,-1.84
2016/5/30 15:30,-0.48
2016/5/31 15:30,-2.1
2016/6/1 15:30,-0.48
2016/6/2 15:30,-4.68
2016/6/3 15:30,-6.05
2016/6/4 15:30,-7.38
2016/6/5 15:30,-8.68
2016/6/6 15:30,-9.94
2016/6/7 15:30,-11.28
2016/6/8 15:30,-13.09
2016/6/9 15:30,-14.46
2016/6/10 15:30,-15.86
2016/6/11 15:30,-17.29
2016/6/12 15:30,-19.2
2016/6/13 15:30,-21.41
2016/6/14 15:30,-23.31
2016/6/15 15:30,-23.31
2016/6/16 15:30,-28.78
2016/6/17 15:30,-28.78
2016/6/18 15:30,-30.69
2016/6/19 15:30,-32.64
2016/6/20 15:30,-34.66
2016/6/21 15:30,-36.23
2016/6/22 15:30,-37.84
2016/6/23 15:30,-34.59
2016/6/24 15:30,-32.3
2016/6/25 15:30,-30.55
2016/6/26 15:30,-30.33
2016/6/27 15:30,-30.08
2016/6/28 15:30,-29.85
2016/6/29 15:30,-30.12
2016/6/30 15:30,-30.35
2016/7/1 15:30,-30.79
2016/7/2 15:30,-31.27
2016/7/3 15:30,-31.61
2016/7/4 15:30,-31.9
2016/7/5 15:30,-32.7
2016/7/6 15:30,-32.7
2016/7/7 15:30,-33.1
2016/7/8 15:30,-33.66
2016/7/9 15:30,-34.44
2016/7/10 15:30,-34.77
2016/7/11 15:30,-35.61
2016/7/12 15:30,-36.21
2016/7/13 15:30,-36.53
2016/7/14 15:30,-36.67
2016/7/15 15:30,-36.95
2016/7/16 15:30,-37.23
2016/7/17 15:30,-37.62
2016/7/18 15:30,-37.94
2016/7/19 15:30,-38.22
2016/7/20 15:30,-38.47
2016/7/21 15:30,-38.82
2016/7/22 15:30,-39.2
2016/7/23 15:30,-39.61
2016/7/24 15:30,-39.98
2016/7/25 15:30,-40.13
2016/7/26 15:30,-40.3
2016/7/27 15:30,-40.45
2016/7/28 15:30,-40.7
2016/7/29 15:30,-41.05
2016/7/30 15:30,-41.35
2016/7/31 15:30,-41.09
2016/8/1 15:30,-41.14
2016/8/2 15:30,-41.06
2016/8/3 15:30,-41.06
2016/8/4 15:30,-41.45
2016/8/5 15:30,-41.8
2016/8/6 15:30,-42.1
2016/8/7 15:30,-42.37
2016/8/8 15:30,-42.37
2016/8/9 15:30,-42.61
