DATE,all_time_change
2016/5/25 15:30,-30.1
2016/5/26 15:30,-32.2
2016/5/27 15:30,-33.07
2016/5/28 15:30,-33.64
2016/5/29 15:30,-33.63
2016/5/30 15:30,-33.08
2016/5/31 15:30,-32.81
2016/6/1 15:30,-32.67
2016/6/2 15:30,-32.43
2016/6/3 15:30,-32.04
2016/6/4 15:30,-31.73
2016/6/5 15:30,-31.42
2016/6/6 15:30,-31.1
2016/6/7 15:30,-30.84
2016/6/8 15:30,-30.55
2016/6/9 15:30,-30.24
2016/6/10 15:30,-29.93
2016/6/11 15:30,-29.63
2016/6/12 15:30,-29.29
2016/6/13 15:30,-28.99
2016/6/14 15:30,-28.65
2016/6/15 15:30,-28.65
2016/6/16 15:30,-27.48
2016/6/17 15:30,-27.87
2016/6/18 15:30,-27.61
2016/6/19 15:30,-27.36
2016/6/20 15:30,-27.07
2016/6/21 15:30,-26.79
2016/6/22 15:30,-26.49
2016/6/23 15:30,-26.19
2016/6/24 15:30,-26.54
2016/6/25 15:30,-26.74
2016/6/26 15:30,-27.3
2016/6/27 15:30,-27.02
2016/6/28 15:30,-27.2
2016/6/29 15:30,-27.57
2016/6/30 15:30,-27.89
2016/7/1 15:30,-27.74
2016/7/2 15:30,-27.61
2016/7/3 15:30,-27.72
2016/7/4 15:30,-28.04
2016/7/5 15:30,-28.77
2016/7/6 15:30,-28.77
2016/7/7 15:30,-29.1
2016/7/8 15:30,-29.32
2016/7/9 15:30,-29.65
2016/7/10 15:30,-30.02
2016/7/11 15:30,-30.21
2016/7/12 15:30,-30.34
2016/7/13 15:30,-30.55
2016/7/14 15:30,-30.94
2016/7/15 15:30,-30.78
2016/7/16 15:30,-30.68
2016/7/17 15:30,-31.01
2016/7/18 15:30,-30.92
2016/7/19 15:30,-30.84
2016/7/20 15:30,-30.75
2016/7/21 15:30,-31.16
2016/7/22 15:30,-31.51
2016/7/23 15:30,-31.88
2016/7/24 15:30,-32.21
2016/7/25 15:30,-32.41
2016/7/26 15:30,-32.63
2016/7/27 15:30,-32.68
2016/7/28 15:30,-32.97
2016/7/29 15:30,-33.09
2016/7/30 15:30,-33.19
2016/7/31 15:30,-33.3
2016/8/1 15:30,-33.49
2016/8/2 15:30,-33.49
2016/8/3 15:30,-33.66
2016/8/4 15:30,-33.44
2016/8/5 15:30,-33.25
2016/8/6 15:30,-33.36
2016/8/7 15:30,-33.52
2016/8/8 15:30,-33.28
2016/8/9 15:30,-33.36
