DATE,all_time_change
2016/5/25 15:30,-5.79
2016/5/26 15:30,-6.99
2016/5/27 15:30,-7.21
2016/5/28 15:30,-8.38
2016/5/29 15:30,-10.11
2016/5/30 15:30,-9.96
2016/5/31 15:30,-10.75
2016/6/1 15:30,-10.99
2016/6/2 15:30,-12.01
2016/6/3 15:30,-12.92
2016/6/4 15:30,-13.81
2016/6/5 15:30,-14.48
2016/6/6 15:30,-15.17
2016/6/7 15:30,-15.84
2016/6/8 15:30,-16.41
2016/6/9 15:30,-17
2016/6/10 15:30,-17.51
2016/6/11 15:30,-17.98
2016/6/12 15:30,-18.61
2016/6/13 15:30,-19.34
2016/6/20 15:30,-22.5
2016/6/21 15:30,-22.98
2016/6/22 15:30,-23.48
2016/6/23 15:30,-23.98
2016/6/24 15:30,-24.32
2016/6/25 15:30,-24.4
2016/6/14 15:30,-20.05
2016/6/16 15:30,-20.05
2016/6/17 15:30,-21.41
2016/6/18 15:30,-21.77
2016/6/19 15:30,-22.09
2016/6/15 15:30,-20.05
2016/6/26 15:30,-24.01
2016/6/27 15:30,-23.57
2016/6/28 15:30,-23.18
2016/6/29 15:30,-23.59
2016/6/30 15:30,-23.93
2016/7/1 15:30,-24.39
2016/7/2 15:30,-24.9
2016/7/3 15:30,-25.13
2016/7/4 15:30,-25.69
2016/7/5 15:30,-26.54
2016/7/6 15:30,-26.54
2016/7/7 15:30,-26.82
2016/7/8 15:30,-27.01
2016/7/9 15:30,-27.29
2016/7/10 15:30,-27.93
2016/7/11 15:30,-28.11
2016/7/12 15:30,-28.24
2016/7/13 15:30,-28.59
2016/7/14 15:30,-28.96
2016/7/15 15:30,-29.52
2016/7/16 15:30,-29.81
2016/7/17 15:30,-30.08
2016/7/18 15:30,-30.25
2016/7/19 15:30,-30.43
2016/7/20 15:30,-30.59
2016/7/21 15:30,-31.03
2016/7/22 15:30,-31.49
2016/7/23 15:30,-31.9
2016/7/24 15:30,-32.27
2016/7/25 15:30,-32.43
2016/7/26 15:30,-32.62
2016/7/27 15:30,-32.49
2016/7/28 15:30,-32.63
2016/7/29 15:30,-32.75
2016/7/30 15:30,-32.88
2016/7/31 15:30,-33.02
2016/8/1 15:30,-33.18
2016/8/2 15:30,-33.18
2016/8/3 15:30,-33.36
2016/8/4 15:30,-33.5
2016/8/5 15:30,-33.65
2016/8/6 15:30,-33.82
2016/8/7 15:30,-34
2016/8/8 15:30,-34
2016/8/9 15:30,-34.19
